date,timestamp,appid,ctxid,level,payload,6,7,8,9,10,11,12,13,14,15,16
06-26,10:24:01.206,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_voltage] = [382.000000] in Nchannel16,,,,,,,,,,,
06-26,10:24:01.208,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_voltage, value: {""sigVal"":""382""}",,,,,,,,,,,
06-26,10:24:01.306,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_current,,,,,,,,,,,
06-26,10:24:01.306,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_current] = [0.850015] in Nchannel16,,,,,,,,,,,
06-26,10:24:01.306,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_current ] received,,,,,,,,,,,
06-26,10:24:01.308,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryCurrent   newValue= 0.850015 :,,,,,,,,,,,
06-26,10:24:01.308,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_current"",",,,,,,,,,,,
06-26,10:24:01.308,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_current, value: {""sigVal"":""0.850015""}",,,,,,,,,,,
06-26,10:24:01.310,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_voltage,,,,,,,,,,,
06-26,10:24:01.310,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_voltage ] received,,,,,,,,,,,
06-26,10:24:01.311,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_voltage] = [381.750000] in Nchannel16,,,,,,,,,,,
06-26,10:24:01.312,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_voltage"",",,,,,,,,,,,
06-26,10:24:01.312,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryVoltage   newValue= 381.75 :,,,,,,,,,,,
06-26,10:24:01.312,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_voltage, value: {""sigVal"":""381.75""}",,,,,,,,,,,
06-26,10:24:01.407,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_current,,,,,,,,,,,
06-26,10:24:01.407,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_current ] received,,,,,,,,,,,
06-26,10:24:01.408,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_current"",",,,,,,,,,,,
06-26,10:24:01.408,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_current, value: {""sigVal"":""0.800015""}",,,,,,,,,,,
06-26,10:24:01.408,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_current] = [0.800015] in Nchannel16,,,,,,,,,,,
06-26,10:24:01.607,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_voltage ] received,,,,,,,,,,,
06-26,10:24:01.607,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_voltage,,,,,,,,,,,
06-26,10:24:01.608,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_voltage, value: {""sigVal"":""382""}",,,,,,,,,,,
06-26,10:24:01.608,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_voltage"",",,,,,,,,,,,
06-26,10:24:01.608,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_voltage] = [382.000000] in Nchannel16,,,,,,,,,,,
06-26,10:24:01.609,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryVoltage   newValue= 382 :,,,,,,,,,,,
06-26,10:24:01.701,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_voltage ] received,,,,,,,,,,,
06-26,10:24:01.701,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_voltage,,,,,,,,,,,
06-26,10:24:01.702,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_voltage, value: {""sigVal"":""381.75""}",,,,,,,,,,,
06-26,10:24:01.702,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_voltage"",",,,,,,,,,,,
06-26,10:24:01.702,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryVoltage   newValue= 381.75 :,,,,,,,,,,,
06-26,10:24:01.811,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_current ] received,,,,,,,,,,,
06-26,10:24:01.811,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_current,,,,,,,,,,,
06-26,10:24:01.812,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_current] = [0.850015] in Nchannel16,,,,,,,,,,,
06-26,10:24:01.813,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryCurrent   newValue= 0.850015 :,,,,,,,,,,,
06-26,10:24:01.813,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_current"",",,,,,,,,,,,
06-26,10:24:01.813,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_current, value: {""sigVal"":""0.850015""}",,,,,,,,,,,
06-26,10:24:01.815,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_voltage ] received,,,,,,,,,,,
06-26,10:24:01.816,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_voltage,,,,,,,,,,,
06-26,10:24:01.816,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_voltage] = [382.000000] in Nchannel16,,,,,,,,,,,
06-26,10:24:01.817,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryVoltage   newValue= 382 :,,,,,,,,,,,
06-26,10:24:01.817,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_voltage"",",,,,,,,,,,,
06-26,10:24:01.817,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_voltage, value: {""sigVal"":""382""}",,,,,,,,,,,
06-26,10:24:01.906,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_current ] received,,,,,,,,,,,
06-26,10:24:01.906,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_current] = [0.800015] in Nchannel16,,,,,,,,,,,
06-26,10:24:01.906,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_current,,,,,,,,,,,
06-26,10:24:01.908,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_current, value: {""sigVal"":""0.800015""}",,,,,,,,,,,
06-26,10:24:01.908,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_current"",",,,,,,,,,,,
06-26,10:24:01.908,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryCurrent   newValue= 0.800015 :,,,,,,,,,,,
06-26,10:24:02.006,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_current,,,,,,,,,,,
06-26,10:24:02.006,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_current ] received,,,,,,,,,,,
06-26,10:24:02.007,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_current, value: {""sigVal"":""0.850015""}",,,,,,,,,,,
06-26,10:24:02.007,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_current] = [0.850015] in Nchannel16,,,,,,,,,,,
06-26,10:24:02.007,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_current"",",,,,,,,,,,,
06-26,10:24:02.008,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryCurrent   newValue= 0.850015 :,,,,,,,,,,,
06-26,10:24:02.108,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_current"",",,,,,,,,,,,
06-26,10:24:02.108,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_current,,,,,,,,,,,
06-26,10:24:02.108,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_current ] received,,,,,,,,,,,
06-26,10:24:02.108,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_current] = [0.800015] in Nchannel16,,,,,,,,,,,
06-26,10:24:02.108,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_current, value: {""sigVal"":""0.800015""}",,,,,,,,,,,
06-26,10:24:02.109,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryCurrent   newValue= 0.800015 :,,,,,,,,,,,
06-26,10:24:02.110,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_voltage ] received,,,,,,,,,,,
06-26,10:24:02.110,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_voltage,,,,,,,,,,,
06-26,10:24:02.110,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_voltage] = [381.750000] in Nchannel16,,,,,,,,,,,
06-26,10:24:02.110,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_voltage, value: {""sigVal"":""381.75""}",,,,,,,,,,,
06-26,10:24:02.200,0,0,I,kernel:,IPCL:[info] ipcl_hb_thread: Send heart beat 1687746242.129485,,,,,,,,,,
06-26,10:24:02.285,0,0,E,kernel:,systemd[11178]: Failed at step EXEC spawning /usr/bin/srvassistor: No such file or directory,,,,,,,,,,
06-26,10:24:02.289,0,0,E,kernel:,systemd[1]: srvassistor.service failed.,,,,,,,,,,
06-26,10:24:02.506,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_current ] received,,,,,,,,,,,
06-26,10:24:02.506,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_current,,,,,,,,,,,
06-26,10:24:02.506,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_current] = [0.850015] in Nchannel16,,,,,,,,,,,
06-26,10:24:02.507,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_current"",",,,,,,,,,,,
06-26,10:24:02.507,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_current, value: {""sigVal"":""0.850015""}",,,,,,,,,,,
06-26,10:24:02.508,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryCurrent   newValue= 0.850015 :,,,,,,,,,,,
06-26,10:24:02.611,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_current] = [0.800015] in Nchannel16,,,,,,,,,,,
06-26,10:24:02.611,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_current,,,,,,,,,,,
06-26,10:24:02.611,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_current ] received,,,,,,,,,,,
06-26,10:24:02.612,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_current, value: {""sigVal"":""0.800015""}",,,,,,,,,,,
06-26,10:24:02.612,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_current"",",,,,,,,,,,,
06-26,10:24:02.613,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryCurrent   newValue= 0.800015 :,,,,,,,,,,,
06-26,10:24:02.706,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_voltage] = [382.250000] in Nchannel16,,,,,,,,,,,
06-26,10:24:02.706,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_voltage,,,,,,,,,,,
06-26,10:24:02.706,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_voltage ] received,,,,,,,,,,,
06-26,10:24:02.712,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_voltage, value: {""sigVal"":""382.25""}",,,,,,,,,,,
06-26,10:24:02.713,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryVoltage   newValue= 382.25 :,,,,,,,,,,,
06-26,10:24:02.713,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_voltage"",",,,,,,,,,,,
06-26,10:24:02.806,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_current ] received,,,,,,,,,,,
06-26,10:24:02.807,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_current] = [0.850015] in Nchannel16,,,,,,,,,,,
06-26,10:24:02.807,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_current,,,,,,,,,,,
06-26,10:24:02.808,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_current, value: {""sigVal"":""0.850015""}",,,,,,,,,,,
06-26,10:24:02.808,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_current"",",,,,,,,,,,,
06-26,10:24:02.808,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryCurrent   newValue= 0.850015 :,,,,,,,,,,,
06-26,10:24:02.810,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_voltage,,,,,,,,,,,
06-26,10:24:02.810,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_voltage ] received,,,,,,,,,,,
06-26,10:24:02.811,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_voltage] = [381.750000] in Nchannel16,,,,,,,,,,,
06-26,10:24:02.812,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_voltage, value: {""sigVal"":""381.75""}",,,,,,,,,,,
06-26,10:24:02.812,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_voltage"",",,,,,,,,,,,
06-26,10:24:02.813,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryVoltage   newValue= 381.75 :,,,,,,,,,,,
06-26,10:24:02.903,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_current] = [0.800015] in Nchannel16,,,,,,,,,,,
06-26,10:24:02.903,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_current,,,,,,,,,,,
06-26,10:24:02.903,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_current ] received,,,,,,,,,,,
06-26,10:24:02.904,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryCurrent   newValue= 0.800015 :,,,,,,,,,,,
06-26,10:24:02.904,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_current"",",,,,,,,,,,,
06-26,10:24:02.904,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_current, value: {""sigVal"":""0.800015""}",,,,,,,,,,,
06-26,10:24:03.006,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_current,,,,,,,,,,,
06-26,10:24:03.006,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_current, value: {""sigVal"":""0.850015""}",,,,,,,,,,,
06-26,10:24:03.006,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_current"",",,,,,,,,,,,
06-26,10:24:03.006,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_current] = [0.850015] in Nchannel16,,,,,,,,,,,
06-26,10:24:03.006,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_current ] received,,,,,,,,,,,
06-26,10:24:03.007,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryCurrent   newValue= 0.850015 :,,,,,,,,,,,
06-26,10:24:03.008,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_voltage, value: {""sigVal"":""382""}",,,,,,,,,,,
06-26,10:24:03.009,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_voltage] = [382.000000] in Nchannel16,,,,,,,,,,,
06-26,10:24:03.009,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryVoltage   newValue= 382 :,,,,,,,,,,,
06-26,10:24:03.009,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_voltage,,,,,,,,,,,
06-26,10:24:03.009,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_voltage ] received,,,,,,,,,,,
06-26,10:24:03.009,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_voltage"",",,,,,,,,,,,
06-26,10:24:03.106,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_voltage"",",,,,,,,,,,,
06-26,10:24:03.106,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_voltage] = [381.750000] in Nchannel16,,,,,,,,,,,
